mint,baseline_verdict_id,baseline_q_score,baseline_verdict_kind,enriched_verdict_id,enriched_q_score,enriched_verdict_kind,q_score_delta,verdict_changed,dogs_voted
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,N/A,0.37190467698289764,Growl,7230c537-2572-4842-8f1b-5021331e846d,0.39166666666666666,Growl,.01976198968376902,0,1
32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,N/A,0.32038713441589045,Growl,null,0,,-.32038713441589045,1,
38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,N/A,0.33088967722973356,Growl,null,0,,-.33088967722973356,1,
3B1ijcocM5EDga6XxQ7JLW7weocQPWWjuhBYG8Vepump,N/A,0.32038713441589045,Growl,5787f7ef-2555-4b98-8223-9f80bd40a6b8,0.39166666666666666,Growl,.07127953225077621,0,1
3WPep4ufaToK1aS5s8BL9inzeUrt4DYaQCiic6ZkkC1U,N/A,0.4746681407831883,Wag,null,0,,-.4746681407831883,1,
463SK47VkB7uE7XenTHKiVcMtxRsfNE2X4Q9wByaURVA,N/A,0.47901234795292197,Wag,8ed201d6-11df-442c-8922-eac9d73b48ad,0.39166666666666666,Growl,-.08734568128625531,1,1
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,N/A,0.404954688551703,Wag,null,0,,-.404954688551703,1,
4yDSFNMitxy6waXPTkPyyVvbbQSiqe7zD1VxnzEypump,N/A,0.3184510536843998,Growl,432fee46-75b6-41ba-ab51-17c9be5241ae,0.38333333333333336,Growl,.06488227964893356,0,1
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,N/A,0.41744888550205894,Wag,null,0,,-.41744888550205894,1,
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,N/A,0.49775468591053385,Wag,b7db4680-b986-4a00-882c-29731d3dd7a3,0.39166666666666666,Growl,-.10608801924386719,1,1
69G8CpUVZAxbPMiEBrfCCCH445NwFxH6PzVL693Xpump,N/A,0.3667438914427982,Growl,null,0,,-.3667438914427982,1,
6iA73gWCKkLWKbVr8rgibV57MMRxzsaqS9cWpgKBpump,N/A,0.32038713441589045,Growl,511df24d-530d-475a-b1c2-a929b58196dc,0.39166666666666666,Growl,.07127953225077621,0,1
6MQpbiTC2YcogidTmKqMLK82qvE9z5QEm7EP3AEDpump,N/A,0.31226065747864235,Growl,null,0,,-.31226065747864235,1,
76EDL5qNcte2ZH29quTaFzagXjWAEY83CATEjyA6pump,N/A,0.321412749303214,Growl,e1623e48-cb9c-4892-8bf0-d0b8aa195553,0.39166666666666666,Growl,.07025391736345266,0,1
89S7oVB4hui8ceJqhHreWB7fcxdthfvoB7z2pfJtpump,N/A,0.30388441474085454,Growl,null,0,,-.30388441474085454,1,
8DKgjd6zAYuP9fVmMHBBtygPqkJ111LrMCT7tDyPhE55,N/A,0.41135937905994785,Wag,27d09478-54ea-4430-af7b-471e945e684d,0.39166666666666666,Growl,-.01969271239328119,1,1
8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump,N/A,0.32038713441589045,Growl,null,0,,-.32038713441589045,1,
8ncucXv6U6epZKHPbgaEBcEK399TpHGKCquSt4RnmX4f,N/A,0.3921012988969152,Wag,null,0,,-.3921012988969152,1,
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,N/A,0.35402323140454306,Growl,null,0,,-.35402323140454306,1,
9zB5wRarXMj86MymwLumSKA1Dx35zPqqKfcZtK1Spump,N/A,0.323003046045406,Growl,9bba3509-bd43-48da-95ed-5dd6a79088c0,0.38333333333333336,Growl,.06033028728792736,0,1
ACtfUWtgvaXrQGNMiohTusi5jcx5RJf5zwu9aAxkpump,N/A,0.32673863356815647,Growl,null,0,,-.32673863356815647,1,
CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,N/A,0.35402323140454306,Growl,b85b0b79-4a1b-4f26-8c48-ee3a962c65b1,0.39166666666666666,Growl,.03764343526212360,0,1
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,N/A,0.3275973594747914,Growl,58926a29-1cc4-431e-9522-08418dcd2365,0.39166666666666666,Growl,.06406930719187526,0,1
CFYhdWXsYfS7swnJgHRwb5toTHMEQD7Ljd5gGwKLpump,N/A,0.30388441474085454,Growl,629b3325-4ed3-4d5e-98c3-fd38656f71b5,0.39166666666666666,Growl,.08778225192581212,0,1
CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump,N/A,0.32038713441589045,Growl,02ee3c8b-6e04-4b81-b4f9-01581a770626,0.39166666666666666,Growl,.07127953225077621,0,1
Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,N/A,0.32673863356815647,Growl,ae566a5a-580e-40f6-b08f-717ccb8e23c3,0.39166666666666666,Growl,.06492803309851019,0,1
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,N/A,0.3544936965921973,Growl,9dcb37f0-24e0-459f-8bba-843056b831a9,0.39166666666666666,Growl,.03717297007446936,0,1
DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,N/A,0.35402323140454306,Growl,8b1f5dbe-824b-4b6b-b379-b3c08da8d084,0.39166666666666666,Growl,.03764343526212360,0,1
Eg2ymQ2aQqjMcibnmTt8erC6Tvk9PVpJZCxvVPJz2agu,N/A,0.4023056012521319,Wag,dd6d6220-510a-45fe-92fd-299e87b59bdd,0.39166666666666666,Growl,-.01063893458546524,1,1
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,N/A,0.404954688551703,Wag,c706600e-69ea-4c8d-b99c-90aeb88f5af2,0.39166666666666666,Growl,-.01328802188503634,1,1
EsLb2XdNWVezNnhEsRVKYZ7BymiKUabzh4tdVhz4pump,N/A,0.3117929028223209,Growl,6bf6b64b-792d-47f7-b5d7-bf604b3f48fd,0.38333333333333336,Growl,.07154043051101246,0,1
GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,N/A,0.31880971704370203,Growl,null,0,,-.31880971704370203,1,
GPwwihLa1w9Qsz27SmNrj7aLVnE7pr2cAvHe6aVVpump,N/A,0.3927578811046844,Wag,2e164172-53df-4cfd-adb5-87cbc1f2fa83,0.39166666666666666,Growl,-.00109121443801774,1,1
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,N/A,0.37797631496846196,Growl,null,0,,-.37797631496846196,1,
J8PSdNP3QewKq2Z1JJJFDMaqF7KcaiJhR7gbr5KZpump,N/A,0.32038713441589045,Growl,null,0,,-.32038713441589045,1,
jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,N/A,0.4277444160958137,Wag,null,0,,-.4277444160958137,1,
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,N/A,0.37190467698289764,Growl,null,0,,-.37190467698289764,1,
nosXBVoaCTtYdLvKY6Csb4AC8JCdQKKAaWYtx2ZMoo7,N/A,0.4202987519642395,Wag,null,0,,-.4202987519642395,1,
NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,N/A,0.32673863356815647,Growl,87b2a81f-447e-40e6-a391-6eeff1d0cd16,0.39166666666666666,Growl,.06492803309851019,0,1
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,N/A,0.41885685417905244,Wag,null,0,,-.41885685417905244,1,
rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,N/A,0.39572048929358533,Wag,null,0,,-.39572048929358533,1,
sGzragYKDrmRgCGvJUn9WKwrmnUZwfmkNQLTSPfdMNq,N/A,0.40032486052887906,Wag,null,0,,-.40032486052887906,1,
SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,N/A,0.3946831932772577,Wag,null,0,,-.3946831932772577,1,
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,N/A,0.5016942754742558,Wag,2cd58d94-e010-4bb0-a949-8366760b90f6,0.39166666666666666,Growl,-.11002760880758914,1,1
zGh48JtNHVBb5evgoZLXwgPD2Qu4MhkWdJLGDAupump,N/A,0.38298027884200836,Wag,null,0,,-.38298027884200836,1,
